Product URL,Product Name,Product Price,Rating,Number of reviews
https://www.amazon.in/Shoulder-Lightweight-Duffle-Weekend-Blue-Orange/dp/B09139DYF1/ref=sr_1_308?crid=2M096C61O4MLT&keywords=bags&qid=1675244746&sprefix=ba%2Caps%2C283&sr=8-308,AURION Polyester 24 Cms Gym Bag(Vista-Blue-Orange_Blue),₹ 399,4.1 out of 5 stars,976 ratings
https://www.amazon.in/Safari-Casual-Backpack-Charging-Resistant/dp/B09B2581S9/ref=sr_1_307?crid=2M096C61O4MLT&keywords=bags&qid=1675244746&sprefix=ba%2Caps%2C283&sr=8-307,"Safari Sneak Casual Backpack with USB Charging Port 26 Ltrs Water Resistant Fabric - Grey, L (SNEAK19CBGRE)",₹ 899,3.7 out of 5 stars,762 ratings
https://www.amazon.in/Harissons-Super-EG-Laptop-Backpack/dp/B075V1WJ5M/ref=sr_1_308?crid=2M096C61O4MLT&keywords=bags&qid=1675244760&sprefix=ba%2Caps%2C283&sr=8-308,Harissons Bags Super EG 34Ltrs Polyester 15.6 inch Laptop Backpacks for Men and Women (Black Navy Blue Green),₹ 991,3.8 out of 5 stars,72 ratings
https://www.amazon.in/Kuber-Industries-Embroidery-Occasions-HS_38_KUBMART21477/dp/B095C9DPDM/ref=sr_1_307?crid=2M096C61O4MLT&keywords=bags&qid=1675244760&sprefix=ba%2Caps%2C283&sr=8-307,"Kuber Industries Embroidery Small Hand Bag, Tote Bag, Purse For Daily Trips, Travel, Office & All Occasions For Women & Girls (Gold)-HS_38_KUBMART21477",₹ 149,3.7 out of 5 stars,49 ratings
https://www.amazon.in/Backpack-15-6inch-Resistant-Anti-Theft-Charging/dp/B07TW713SC/ref=sr_1_306?crid=2M096C61O4MLT&keywords=bags&qid=1675244760&sprefix=ba%2Caps%2C283&sr=8-306,"Arctic Hunter Backpack, 15.6 Inch Laptop Bag for Men Business Backpack for Office Travel College 28L Water Resistant Anti-Theft Laptop Backpack with USB Charging Port for Men and Women, Black","₹ 2,374",4.1 out of 5 stars,271 ratings
https://www.amazon.in/N-K-Waterproof-Backpack-College-Students/dp/B09VTJBJHV/ref=sr_1_305?crid=2M096C61O4MLT&keywords=bags&qid=1675244760&sprefix=ba%2Caps%2C283&sr=8-305,N.K 35 L Casual Waterproof Laptop Bag/Backpack for Men Women Boys Girls/Office School College Teens & Students with(BLUE),₹ 449,2.8 out of 5 stars,4 ratings
https://www.amazon.in/House-Quirk-Diaper-Maternity-Backpack/dp/B07T9PSCRB/ref=sr_1_304?crid=2M096C61O4MLT&keywords=bags&qid=1675244760&sprefix=ba%2Caps%2C283&sr=8-304,House of Quirk Baby Diaper Bag Maternity Backpack (Jeep Green),"₹ 1,399",4.3 out of 5 stars,"3,290 ratings"
https://www.amazon.in/Lino-Perros-Women-Colored-Backpack/dp/B084TPL24S/ref=sr_1_303?crid=2M096C61O4MLT&keywords=bags&qid=1675244760&sprefix=ba%2Caps%2C283&sr=8-303,Lino Perros Backpack,"₹ 1,469",4.4 out of 5 stars,173 ratings
https://www.amazon.in/Gear-Compact-Business-Backpack-BUSCOMPACT052/dp/B08D76WDTV/ref=sr_1_302?crid=2M096C61O4MLT&keywords=bags&qid=1675244760&sprefix=ba%2Caps%2C283&sr=8-302,Gear Compact Business 18L Water Resistant Laptop Bag/Backpack/Office Bag For Men/Women - Indiaink,₹ 774,4.2 out of 5 stars,"1,071 ratings"
https://www.amazon.in/Bellissa-Leather-Handbag-Women-Brown/dp/B07XP7XV36/ref=sr_1_301?crid=2M096C61O4MLT&keywords=bags&qid=1675244760&sprefix=ba%2Caps%2C283&sr=8-301,BELLISSA Purses and Handbags for Women Fashion Ladies PU Leather Top Handle Satchel Shoulder Stylish Bags,"₹ 1,334.11",4.3 out of 5 stars,218 ratings
https://www.amazon.in/Alice-3-Pieces-Backpack-Rucksack-Shoulder/dp/B0969M36GD/ref=sr_1_298?crid=2M096C61O4MLT&keywords=bags&qid=1675244760&sprefix=ba%2Caps%2C283&sr=8-298,Alice Bowknot 3-Pieces Fahsion Leather Backpack Backpack Purse for Women Rucksack for Ladies Shoulder Bag//Rakhi gift for Sister,₹ 549,3.6 out of 5 stars,207 ratings
https://www.amazon.in/AirCase-C25-Messenger-Shoulder-Compartments/dp/B07X6DV3VM/ref=sr_1_297?crid=2M096C61O4MLT&keywords=bags&qid=1675244760&sprefix=ba%2Caps%2C283&sr=8-297,"AirCase Office Messenger Sling Bag fits upto 15.6"" Laptop/Macbook, Detachable Shoulder Strap, Waterproof, Shockproof, Carry Handle with Spacious Pockets, For Men & Women",₹ 949,4.0 out of 5 stars,571 ratings
https://www.amazon.in/Gear-Alphamount-Trekking-Black-Yellow-RKSALPAMT0112/dp/B097KFYPCG/ref=sr_1_296?crid=2M096C61O4MLT&keywords=bags&qid=1675244760&sprefix=ba%2Caps%2C283&sr=8-296,"Gear Alphamount 45L Water Resistant Trekking Travel Rucksack for Men,Women - Black Yellow",₹ 849,4.0 out of 5 stars,316 ratings
https://www.amazon.in/Isle-Locada-Hidesign-Womens-Purple/dp/B07T97R1H1/ref=sr_1_295?crid=2M096C61O4MLT&keywords=bags&qid=1675244760&sprefix=ba%2Caps%2C283&sr=8-295,Isle Locada by Hidesign Women's SLING BAG(AUBERGINE/AUBERG),"₹ 1,599",4.5 out of 5 stars,340 ratings
https://www.amazon.in/uppercase-Backpack-1600EBP1-resistant-sustainable/dp/B0B68ZS5G1/ref=sr_1_294?crid=2M096C61O4MLT&keywords=bags&qid=1675244760&sprefix=ba%2Caps%2C283&sr=8-294,"uppercase Laptop Backpack 1600EBP Compact 3x more water repellent sustainable bags with rain proof zippers for Men, Women, Boys and Girls , 750 Days warranty",null,4.2 out of 5 stars,152 ratings
https://www.amazon.in/Backpack-Toddler-Animal-Cartoon-Butterfly/dp/B08D54HMS3/ref=sr_1_293?crid=2M096C61O4MLT&keywords=bags&qid=1675244760&sprefix=ba%2Caps%2C283&sr=8-293,blue tree 10 ltrs (30 Cms) backpack(INVALID DATA_multi color),₹ 278,3.9 out of 5 stars,192 ratings
https://www.amazon.in/uppercase-Backpack-1600EBP1-repellent-sustainable/dp/B0B5N9TY9C/ref=sr_1_292?crid=2M096C61O4MLT&keywords=bags&qid=1675244760&sprefix=ba%2Caps%2C283&sr=8-292,"uppercase Laptop Backpack 1600EBP Compact 3x more water repellent sustainable bags with rain proof zippers for Men, Women, Boys and Girls , 750 Days warranty",null,4.2 out of 5 stars,152 ratings
https://www.amazon.in/Arctic-Fox-Shutter-Topography-Camera/dp/B0835GMWBC/ref=sr_1_291?crid=2M096C61O4MLT&keywords=bags&qid=1675244760&sprefix=ba%2Caps%2C283&sr=8-291,Arctic Fox Sling Shutter Topography Camera Bag,"₹ 1,199",4.5 out of 5 stars,283 ratings
https://www.amazon.in/Lenovo-Laptop-Backpack-15-6-Inch-GX40Q17227/dp/B075Y6SRMG/ref=sr_1_292?crid=2M096C61O4MLT&keywords=bags&qid=1675244845&sprefix=ba%2Caps%2C283&sr=8-292,Lenovo Casual Laptop Backpack B210 39.62 cm (15.6) -inch Water Repellent Grey,₹ 922,4.2 out of 5 stars,"53,009 ratings"
